158023,Lionel Andres Messi Cuccittini,"RW, ST, CF"
20801,Cristiano Ronaldo dos Santos Aveiro,"ST, LW"
200389,Jan Oblak,GK
188545,Robert Lewandowski,ST
190871,Neymar da Silva Santos Junior,"LW, CAM"
192985,Kevin De Bruyne,"CAM, CM"
231747,Kylian Mbappe Lottin,"ST, LW, RW"
192448,Marc-Andre ter Stegen,GK
203376,Virgil van Dijk,CB
212831,Alisson Ramses Becker,GK
208722,Sadio Mane,LW
209331,Mohamed Salah Ghaly,RW
192119,Thibaut Courtois,GK
153079,Sergio Leonel Aguero del Castillo,ST
155862,Sergio Ramos Garcia,CB
165153,Karim Benzema,"CF, ST"
167495,Manuel Neuer,GK
200145,Carlos Henrique Venancio Casimiro,CDM
210257,Ederson Santana de Moraes,GK
202652,Raheem Shaquille Sterling,"LW, RW"
212622,Joshua Kimmich,"CDM, RB"
202126,Harry Kane,ST
211110,Paulo Bruno Exequiel Dybala,"CF, CAM"
162835,Samir Handanovic,GK
182521,Toni Kroos,CM
183277,Eden Hazard,"LW, ST"
201024,Kalidou Koulibaly,CB
215914,N'Golo Kante,"CDM, CM"
233049,Jadon Sancho,"RM, LM, CAM"
231281,Trent Alexander-Arnold,RB
212198,Bruno Miguel Borges Fernandes,"CAM, CM"
212218,Aymeric Laporte,CB
209499,Fabio Henrique Tavares,CDM
216267,Andrew Robertson,LB
218667,Bernardo Mota Veiga de Carvalho e Silva,"RW, CAM, CM"
138956,Giorgio Chiellini,CB
167948,Hugo Lloris,GK
176580,Luis Alberto Suarez Diaz,ST
177003,Luka Modric,CM
183898,Angel Fabian Di Maria Hernandez,"RW, LW"
186153,Wojciech Szczesny,GK
188567,Pierre-Emerick Aubameyang,"ST, LW"
189511,Sergio Busquets i Burgos,CDM
192387,Ciro Immobile,ST
193041,Keylor Navas Gamboa,GK
194765,Antoine Griezmann,"ST, CF, LW"
200104,H. Son,"LM, CF"
201942,Roberto Firmino Barbosa de Oliveira,CF
201535,Raphael Varane,CB
195864,Paul Pogba,"CM, CDM"
199556,Marco Verratti,"CM, CDM"
143076,Alejandro Dario Gomez,"CAM, CF, ST"
152729,Gerard Pique Bernabeu,CB
168542,David Josue Jimenez Silva,"CAM, CM"
177683,Yann Sommer,GK
178603,Mats Hummels,CB
183711,Jordan Brian Henderson,"CDM, CM"
189332,Jordi Alba Ramos,LB
189596,Thomas Muller,"CAM, RM, RW"
193080,David De Gea Quintana,GK
204963,Daniel Carvajal Ramos,RB
208830,Jamie Vardy,ST
235790,Kai Havertz,"CAM, RM, CF"
230621,Gianluigi Donnarumma,GK
235243,Matthijs de Ligt,CB
231677,Marcus Rashford,"LM, ST"
222492,Leroy Sane,LM
228702,Frenkie de Jong,CM
207865,Marcos Aoas Correa,"CB, CDM"
220440,Clement Nicolas Laurent Lenglet,CB
223848,Sergej Milinkovic-Savic,"CM, CDM, CAM"
232363,Milan Skriniar,CB
202556,Memphis Depay,"CF, LW, CAM"
212188,Timo Werner,ST
231866,Rodrigo Hernandez Cascante,"CDM, CM"
192563,Bernd Leno,GK
206113,Serge Gnabry,"RM, LM, RW"
210243,Ricardo Domingos Barbosa Pereira,RB
192505,Romelu Lukaku Menama,ST
198706,Luis Alberto Romero Alconchel,"CAM, CM, CF"
201399,Mauro Emanuel Icardi Rivero,ST
208670,Hakim Ziyech,"CAM, RW"
164240,Thiago Emiliano da Silva,CB
175943,Dries Mertens,"CF, ST"
180206,Miralem Pjanic,"CM, CDM"
181291,Georginio Wijnaldum,CM
182493,Diego Roberto Godin Leal,CB
184087,Toby Alderweireld,CB
184344,Leonardo Bonucci,CB
185122,Peter Gulacsi,GK
188350,Marco Reus,"CAM, CF"
188377,Kyle Walker,RB
189509,Thiago Alcantara do Nascimento,"CM, CDM"
189513,Daniel Parejo Munoz,CM
190460,Christian Dannemann Eriksen,"CAM, CM, RM"
191043,Alex Sandro Lobo Silva,"LB, LM"
193747,Jorge Resurreccion Merodio,"CM, RM, LM"
198219,Lorenzo Insigne,"LW, CF"
204485,Riyad Mahrez,"RW, RM"
239085,Erling Haaland,ST
231478,Lautaro Javier Martinez,ST
230142,Mikel Oyarzabal Ugarte,"LW, RW"
212190,Niklas Sule,CB
230658,Arthur Henrique Ramos de Oliveira Melo,CM
209658,Leon Goretzka,"CM, CDM"
210035,Alejandro Grimaldo Garcia,LB
211300,Anthony Martial,ST
212194,Julian Brandt,"CAM, CM"
213345,Kingsley Coman,"LM, RM, LW"
216460,Jose Maria Gimenez de Vargas,CB
226753,Andre Onana,GK
226790,Onyinye Wilfred Ndidi,"CDM, CM"
208421,Saul Niguez Esclapez,"CM, LM, LB"
189117,Roman Burki,GK
198176,Stefan de Vrij,CB
200458,Lucas Digne,LB
209889,Raphael Adelino Jose Guerreiro,"LM, LB, CM"
209989,Thomas Teye Partey,CM
212462,Alex Nicolao Telles,LB
216352,Marcelo Brozovic,"CDM, CM"
135507,Fernando Luiz Rosa,"CB, CDM"
146536,Jesus Navas Gonzalez,"RB, RM"
163587,Kasper Schmeichel,GK
168435,Salvatore Sirigu,GK
176266,Lucas Pezzini Leiva,CDM
177413,Axel Witsel,"CDM, CM"
178005,Rui Pedro dos Santos Patricio,GK
184432,Cesar Azpilicueta Tanco,"RB, LB"
190483,Douglas Costa de Souza,"LM, RW, LW"
192629,Iago Aspas Juncal,"ST, RW"
193165,Jesus Manuel Corona Ruiz,"RM, RB"
193474,Idrissa Gana Gueye,"CDM, CM"
197445,David Olatukunbo Alaba,"CB, LB"
197781,Francisco Roman Alarcon Suarez,"CAM, CM, LW"
197965,Luis Miguel Afonso Fernandes,"RM, CM"
199451,Wissam Ben Yedder,ST
200647,Josip Ilicic,"CF, ST"
204838,Raul Alonso Jimenez Rodriguez,ST
207863,Felipe Augusto de Almeida Monteiro,CB
211256,Nicolas Alejandro Tagliafico,LB
239053,Federico Santiago Valverde Dipetta,CM
222665,Martin Odegaard,"CAM, CM, RM"
231443,Ousmane Dembele,"LW, RW"
211688,Jose Luis Gaya Pena,LB
212151,Thomas Strakosha,GK
221087,Pau Lopez Sabata,GK
225100,Joe Gomez,CB
225953,Steven Bergwijn,"LM, LW, RM"
228618,Ferland Mendy,LB
229880,Aaron Wan-Bissaka,"RB, RWB"
235212,Achraf Hakimi Mouh,RM
210413,Alessio Romagnoli,CB
211117,Bamidele Alli,"CAM, CM"
221363,Donny van de Beek,"CM, CAM"
229261,Denis Lemi Zakaria Lako Lado,"CDM, CB, CM"
230666,Gabriel Fernando de Jesus,ST
205600,Samuel Yves Umtiti,CB
207410,Mateo Kovacic,"CM, CDM"
210514,Joao Pedro Cavaco Cancelo,RB
227928,Nelson Cabral Semedo,RB
192984,Koen Casteels,GK
199482,Anthony Lopes,GK
204923,Marcel Sabitzer,"CM, CAM"
219693,Diego Carlos Santos Silva,CB
192774,Konstantinos Manolas,CB
197061,Joel Andre Job Matip,CB
205069,Juan Bernat Velasco,"LB, LM"
216594,Nabil Fekir,"CAM, RM, ST"
41236,Zlatan Ibrahimovic,ST
162347,Joao Filipe Iria Santos Moutinho,CM
163705,Steve Mandanda,GK
167664,Gonzalo Gerardo Higuain,ST
169195,Renato Soares de Oliveira Augusto,"CM, CAM, LM"
169416,Carlos Alberto Vela Garrido,"RW, LW, CAM"
170890,Blaise Matuidi,"CDM, CM"
172871,Jan Bert Lieve Vertonghen,"CB, LB"
173731,Gareth Frank Bale,RW
176676,Marcelo Vieira da Silva Junior,LB
178518,Radja Nainggolan,"CAM, CM, CF"
178562,Ever Maximiliano David Banega,"CM, CDM"
180930,Edin Dzeko,ST
181872,Arturo Erasmo Vidal Pardo,"CM, CDM, CAM"
183512,Yuri Berchiche Izeta,LB
184134,Fernando Francisco Reges,"CDM, CM"
186345,Kieran Trippier,RB
186942,Ilkay Gundogan,"CM, CDM"
187961,Jose Paulo Bezzera Maciel Junior,"CM, CAM, CDM"
188152,Oscar dos Santos Emboaba Junior,"CAM, CM, LW"
188943,Kevin Trapp,GK
189242,Philippe Coutinho Correia,"CAM, LW, CM"
189575,Iker Muniain Goni,"LW, CAM, RW"
190941,Lukas Hradecky,GK
193301,Alexandre Lacazette,ST
193314,Aitor Fernandez Abarisketa,GK
198717,Wilfried Zaha,"LM, CF"
199042,Charles Mariano Aranguiz Sandoval,"CDM, CM"
199434,Dusan Tadic,"CF, LW, CAM"
199564,Sergio Roberto Carnicer,"RB, CM"
199845,Francesco Acerbi,CB
199914,Allan Marques Loureiro,CM
200949,Lucas Rodrigues Moura da Silva,"RM, CF"
203486,Thorgan Hazard,"LM, RM, CF"
205070,Cristian Portugues Manzanera,"RW, RM, CF"
205498,Luiz Frello Filho Jorge,"CM, CDM"
205678,Edin Visca,RM
208093,Gerard Moreno Balaguero,"ST, RM, CF"
208574,Filip Kostic,"LM, LWB"
215333,Duvan Esteban Zapata Banguera,ST
216547,Rafael Alexandre Fernandes Ferreira da Silva,"LM, RM"
220407,Martin Dubravka,GK
224334,Marcos Javier Acuna,"LB, LM"
230481,Ronaldo Jailson Cabrais Petri,"CAM, RM"
245279,Sergio Reguilon Rodriguez,"LB, LM"
226271,Fabian Ruiz Pena,CM
220814,Lucas Hernandez Pi,"CB, LB"
224293,Ruben Diogo da Silva Neves,CM
226226,Giovani Lo Celso,"CM, CAM"
193105,Alphonse Areola,GK
206585,Kepa Arrizabalaga Revuelta,GK
215698,Mike Maignan,GK
220834,Marco Asensio Willemsen,"LW, RW"
225375,Konrad Laimer,"CDM, CM, RB"
203263,Harry Maguire,CB
212523,Anderson Souza Conceicao,"CAM, RW"
214997,Angel Martin Correa,"RM, ST"
215316,Geronimo Rulli,GK
226110,Nicolas Pepe,"RM, RW"
226161,Marcos Llorente Moreno,"CM, CF, RM"
198009,Mattia Perin,GK
208333,Emre Can,"CM, CDM"
209960,Fernando Pacheco Flores,GK
223952,David Soria Solis,GK
201153,Alvaro Borja Morata Martin,ST
201305,Gabriel Armando de Abreu,CB
203841,Nick Pope,GK
205632,Lucas Ariel Ocampos,"RW, LW"
207862,Matthias Ginter,CB
217940,Djene Dakonam Ortega,CB
236583,Jiri Pavlenka,GK
1179,Gianluigi Buffon,GK
157481,Raul Albiol Tortajada,CB
168651,Ivan Rakitic,CM
176635,Mesut Ozil,"CAM, RW"
177388,Dimitri Payet,"LW, CAM"
177457,Lars Bender,"RB, CDM, CM"
178750,Sergio Asenjo Andres,GK
180403,Willian Borges da Silva,"RW, LW, RM"
181458,Ivan Perisic,"LM, LW"
182494,Nestor Fernando Muslera Micol,GK
183907,Jerome Boateng,CB
184200,Marko Arnautovic,ST
185103,Aleksandar Kolarov,LB
186561,Aaron Ramsey,"CM, CAM"
190286,Sergio Canales Madrazo,"CM, LM, RM"
190815,Daley Blind,"CB, CDM, LB"
193525,Mario Figueira Fernandes,"RWB, RM"
193698,Oliver Baumann,GK
194404,Norberto Murara Neto,GK
198329,Rodrigo Moreno Machado,ST
198710,James David Rodriguez Rubio,"CAM, CM, RM"
200888,Danilo Luis Helio Pereira,"CDM, CM"
201095,Agustin Federico Marchesin,GK
202857,Karim Bellarabi,"RM, RW"
204120,Tomas Vaclik,GK
204970,Florian Thauvin,"RW, RM"
208418,Yannick Ferreira Carrasco,LM
208808,Quincy Anton Promes,"CAM, LW, ST"
210665,Marcel Halstenberg,"LB, CB, LWB"
216354,Andrej Kramaric,"ST, CAM"
223697,Robin Gosens,LM
230168,Raphael William Anjos Rochedo,GK
230375,Josue Durval Chiamulera Vaz,CB
242444,Joao Felix Sequeira,"CF, ST"
234396,Alphonso Davies,"LB, LM, RM"
234906,Houssem Aouar,"CM, LM"
239231,Marc Cucurella Saseta,"LM, LB"
241461,Ferran Torres Garcia,"RM, LM, CF"
231943,Richarlison de Andrade,"ST, RM, LM"
241852,Moussa Diaby,LM
224411,Goncalo Manuel Ganchinho Guedes,"LM, ST"
227796,Christian Pulisic,"LW, RW, LM"
239818,Ruben dos Santos Gato Alves Dias,CB
251573,Renan Augusto Lodi dos Santos,LB
211990,Odisseas Vlachodimos,GK
222716,Everton Sousa Soares,LM
236792,Tomas Soucek,"CDM, CM"
205659,Alessio Cragno,GK
211591,Moussa Dembele,ST
213565,Thomas Lemar,"LM, CAM, RM"
216393,Youri Tielemans,CM
220697,James Maddison,"CAM, CM, LW"
220971,Naby Deco Keita,CM
223959,Lucas Torreira Di Pascua,"CDM, CM"
225850,Presnel Kimpembe,CB
226851,Benjamin Pavard,"RB, CB"
229984,Ben Chilwell,LB
233419,Raphael Dias Belloli,"RM, RW"
204884,Benjamin Mendy,LB
204935,Jordan Pickford,GK
205175,Arkadiusz Milik,ST
210455,Jonathan Castro Otto,LWB
215223,Walter Daniel Benitez,GK
215330,Carlos Joaquin Correa,"CF, ST, CAM"
216201,Inaki Williams Arthuer,"ST, RW"
220793,Davinson Sanchez Mina,CB
205452,Antonio Rudiger,CB
205693,Sebastien Haller,ST
205988,Luke Shaw,LB
209297,Frederico Rodrigues Santos,"CDM, CM"
200454,Francisco Alcacer Garcia,ST
204639,Stefan Savic,CB
205849,Esteban Maximiliano Andrada,GK
207877,Josef Alexander Martinez,ST
210008,Adrien Rabiot,"CM, CDM"
227290,Marko Dmitrovic,GK
235374,Manuel Lazzari,RM
41,Andres Iniesta Lujan,"CM, CAM"
120533,Kleper Laveran de Lima Ferreira,CB
153244,Andre-Pierre Gignac,"ST, CF"
156519,Hector Miguel Herrera Lopez,CM
156616,Franck Bilal Ribery,"CF, LM, LW"
163489,Andrea Consigli,GK
164835,Lukasz Fabianski,GK
167628,Stephane Ruffier,GK
171877,Marek Hamsik,"CM, CDM, CAM"
173426,Simon Luc Hildebert Mignolet,GK
173521,Ivan Marcano Sierra,CB
177458,Sven Bender,"CB, CDM"
177610,Javier Martinez Aginaga,"CDM, CB"
179846,Sami Khedira,"CM, CDM"
183574,Max Kruse,"CAM, ST"
187754,Marlos Romero Bonfim,"RM, CAM"
188803,Taison Barcellos Freda,"LM, CAM"
190972,Eduardo Antonio Salvio,"RM, RW"
192638,Marcos Alonso Mendoza,"LB, LWB"
193082,Juan Guillermo Cuadrado Bello,"RB, RM, RW"
193283,Thomas Delaney,"CDM, CM"
193348,Xherdan Shaqiri,RM
195365,Kevin Kampl,"CM, CDM, CAM"
197655,Sebastian Coates Nion,CB
198164,Jonathan Viera Ramos,CAM
198950,Pablo Sarabia Garcia,"RW, CAM"
199575,Jordi Masip Lopez,GK
199987,Jasper Cillessen,GK
200260,Steven Berghuis,RW
200610,Kevin Volland,"ST, RW, LW"
201119,Ismaily Goncalves dos Santos,LB
201417,Matt Doherty,"RWB, RB"
201995,Felipe Anderson Pereira Gomes,"LM, CAM"
202371,Thomas Meunier,"RB, RM"
202651,Jesus Joaquin Fernandez Saez de la Torre,"RW, CAM"
203551,Alessandro Florenzi,RB
204259,Santiago Arias Naranjo,RB
204399,Eran Zahavi,"ST, LM"
208461,Marten de Roon,"CDM, CM"
215998,Ignacio Martin Fernandez,"CM, CAM"
216189,Ander Capa Rodriguez,RB
216409,Matteo Politano,"RM, RW, ST"
223689,Wout Weghorst,ST
230225,Juan Everton Mestres de Mesquita,"CB, CDM"
230256,Adryan Juliano Zonta Torres,"LWB, LB"
230258,Rosberto J. Dourado Santos,"CDM, CM, CAM"
230294,Lourival Adnan Beretta Barbosa,"ST, CF"
230347,Welington Kaue Dano Nascimento,"LB, LM"
230384,Nuno Ailton Padrenda Mendes,"CAM, CM, ST"
230430,Marvin Oswaldo Rangel Azevedo,ST
238794,Vinicius Jose Paixao de Oliveira Junior,LW
224232,Nicolo Barella,"CM, CAM"
226166,Nordi Mukiele Mulere,"RB, CB, RWB"
233064,Mason Mount,"CAM, CM, LW"
233306,Dean Henderson,GK
235569,Tanguy Ndombele Alvaro,"CM, CDM"
240130,Eder Gabriel Militao,"CB, RB"
216388,Allan Saint-Maximin,"LM, LW, ST"
224458,Diogo Jose Teixeira da Silva,"LW, ST, CM"
225193,Mikel Merino Zazon,CM
228093,Marcus Thuram,"LW, ST"
230869,Unai Simon Mendibil,GK
232411,Christopher Nkunku,"CAM, ST"
241095,Nikola Vlasic,CAM
241671,Dominik Livakovic,GK
244369,Viktor Tsygankov,RM
203747,Hector Bellerin Moruno,"RB, RWB"
220651,Jose Angel Esmoris Tasende,LB
222331,Lukas Klostermann,"CB, RB, RWB"
222509,Daniel Ceballos Fernandez,"CM, CAM"
227813,Oleksandr Zinchenko,LB
229906,Leon Bailey Butler,"LM, RM"
232119,Caglar Soyuncu,CB
232432,Luka Jovic,ST
232656,Theo Bernard Francois Hernandez,LB
232665,Mauro Wilney Arambarri Rosa,"CDM, CM"
236632,David Neres Campos,"LW, RW, CAM"
239207,Maximiliano Gomez Gonzalez,ST
213648,Pierre-Emile Hojbjerg,CDM
221660,Victor Nilsson Lindelof,CB
227127,Alejandro Remiro Gargallo,GK
203574,John Stones,CB
204311,Kurt Happy Zouma,CB
206517,Jack Grealish,"LW, CAM, CM"
208330,Adnan Januzaj,"RW, RM"
208596,Andrea Belotti,ST
210406,Piotr Zielinski,"CM, LM"
210411,Otavio Edmilson da Silva Monteiro,"RM, CAM, CM"
211320,Daniele Rugani,CB
214979,Juan Agustin Musso,GK
219683,Corentin Tolisso,"CM, CDM"
221992,Hirving Rodrigo Lozano Bahena,"RW, ST, LW"
223874,Valentin Rongier,"CM, CDM"
227055,Gelson Dany Batalha Martins,"RM, RW"
227950,Yeray Alvarez Lopez,CB
229668,Mario Hermoso Canseco,CB
199005,Mathew Ryan,GK
201922,Martin Hinteregger,CB
212404,Federico Bernardeschi,"CAM, RM"
199503,Granit Xhaka,"CDM, CM"
199823,Jose Angel Gomez Campana,"CM, LM, CDM"
200536,Nico Schulz,"LB, LM, LWB"
200726,Benjamin Lecomte,GK
202166,Julian Draxler,"CAM, CM, LW"
202477,Gerard Deulofeu Lazaro,"LM, CF"
202562,Jerome Roussillon,"LB, LM"
202695,James Tarkowski,CB
204525,Inigo Martinez Berridi,CB
205923,Ben Davies,"LB, LWB"
206467,Alassane Plea,"ST, LW"
210935,Domenico Berardi,"RM, RW"
211748,Kerem Demirbay,CM
212814,Joao Mario Naval da Costa Eduardo,"CM, CAM, LM"
9014,Arjen Robben,"RM, CAM"
45186,Joaquin Sanchez Rodriguez,"LM, RM"
138412,James Philip Milner,"CM, RB, LB"
139068,Luis Carlos Almeida da Cunha,"LW, RW"
148119,Igor Akinfeev,GK
159145,Bafetimbi Fredius Gomis,ST
159261,Fabio Quagliarella,ST
162240,Mousa Sidi Yaya Dembele,"CM, CAM, CDM"
167397,Radamel Falcao Garcia Zarate,ST
168609,Joao Miranda de Souza Filho,CB
169588,Jonny Evans,CB
170368,Erik Lamela,"RM, CAM"
171579,Raul Garcia Escudero,"ST, CAM, RW"
172522,Daniel Wass,"RB, RM, CM"
173373,Sergio German Romero,GK
173771,Lukasz Piszczek,"CB, RB"
177604,Ignacio Monreal Eraso,LB
178086,Antonio Adan Garrido,GK
178372,Branislav Ivanovic,"CB, RB"
179645,Simon Thorup Kjr,CB
179844,Diego da Silva Costa,ST
179944,David Luiz Moreira Marinho,CB
